_id,RcnNormCR,RusStarCR,RkrStarCR,RcnStarCR,stage,valid,date,totalTime,studyTime,recogTime,genderTarget,gender,age,cnStarFamiliar,krStarFamiliar,usStarFamiliar,cnNormFamiliar,cnStarMeanRT,krStarMeanRT,cnNormMeanRT,usStarMeanRT,cnStarCorrectRate,krStarCorrectRate,cnNormCorrectRate,usStarCorrectRate,cnStarStdRT,krStarStdRT,cnNormStdRT,usStarStdRT,device-width,device-height,device-min
66470a99ec1b45bacaabe814,0.7083,0.6147,0.875,0.557,有效数据,有效数据,2024/5/17 下午3:43:20,464859,,110833,女,男,19,2,0,2,0,1215.7083,1352.125,1316.9583,733.25,0.625,0.875,0.7083,0.6667,623.0685,610.8433,639.7815,444.9228,390,844,390
66470af08a57f8b4d0771aff,0.7917,0.625,0.5833,0.591,有效数据,有效数据,2024/5/17 15:44:47,515695,,111830,女,男,20,1,0,0,0,1188.75,1154.1667,964.2083,1352.4583,0.625,0.5833,0.7917,0.625,287.1273,542.0633,297.2462,332.2236,400,889,400
66470af38a57f8b4d0771b00,0.6963,0.6147,0.618,0.421,有效数据,有效数据,2024/5/17 15:44:49,559948,,159292,女,女,18,6,4,2,1,1757.6667,1584.125,1974.5,1320.875,0.625,0.75,0.7083,0.6667,867.8391,647.3143,807.433,593.8969,390,844,390
66470baaec1b45bacaabe815,0.75,0.62,0.6093,0.5833,有效数据,有效数据,2024/5/17 下午3:47:54,580288,,182100,男,男,21,0,3,5,0,1615.0833,2059.5417,1567.9583,2344.9167,0.5833,0.7083,0.75,0.75,621.9341,1442.7346,548.1476,1712.1296,1440,900,900
66470c4aec1b45bacaabe816,0.5833,0.5833,0.5087,0.7127,有效数据,有效数据,17/5/2024 下午3:50:33,456038,57394,103481,女,女,20,6,1,0,0,1279.0417,910.4583,1004.2917,1117.9167,0.9167,0.5417,0.5833,0.5833,250.4166,181.2749,297.97,308.0596,440,968,440
66470cd8440823f3e560dc67,0.6667,0.7867,0.802,0.796,有效数据,有效数据,2024/5/17 15:52:54,472992,71489,115332,女,女,19,6,6,5,0,1068.2917,970.4583,1368.2917,1398.4583,1,1,0.6667,0.9167,312.1154,204.8446,653.9187,1155.9086,390,844,390
66470db24504410081927309,0.6667,0.7083,0.4843,0.4583,有效数据,有效数据,2024/5/17 15:56:32,609025,60746,103666,男,女,31,0,3,0,0,1335.1667,1077.9583,962.75,943.5417,0.4583,0.5833,0.6667,0.7083,466.5264,365.6709,311.8427,271.4199,400,889,400
66470e650ebda7e662d4f00d,0.5,0.349,0.4097,0.466,有效数据,有效数据,2024/5/17 15:59:31,493309,,116674,男,男,20,1,4,1,0,1007.5417,1319.9167,1376.4167,1157.5417,0.5,0.5417,0.5,0.375,229.8357,546.8537,833.3873,405.2847,400,889,400
66470ebd0ebda7e662d4f00e,0.6667,0.922,0.677,0.739,有效数据,有效数据,2024/5/17 16:01:00,622361,,187331,男,女,23,4,6,3,0,1908.7083,2209.0417,2190.1667,1497.5417,0.875,0.875,0.6667,1,1117.5,1502.2394,1467.6057,695.5873,390,844,390
66470f0e0ebda7e662d4f00f,0.577,0.4533,0.493,0.5153,有效数据,有效数据,2024/5/17 下午4:02:21,744748,,205173,女,女,21,2,4,5,4,2417.5833,2264.4167,2070.5,1796.375,0.5833,0.625,0.625,0.5833,849.2314,536.3852,831.958,841.3604,414,896,414
66470f3d0ebda7e662d4f010,0.875,0.646,0.7603,0.7543,有效数据,有效数据,"5/17/2024, 4:03:07 PM",531690,89432,126772,女,女,20,6,6,4,0,1260.0417,1393.3333,1399.0417,1229.75,0.9583,0.9583,0.875,0.75,435.3424,507.137,426.6097,339.7817,400,867,400
66470f8285016279026b57a8,0.75,0.5417,0.5087,0.7237,有效数据,有效数据,2024/5/17 16:04:16,733922,,138006,男,女,58,2,1,0,0,1690.3333,1409.125,1162.5,1488.2917,0.7917,0.5417,0.75,0.5417,860.2242,501.9746,374.0793,1534.1853,341,756,341
66470fc60ebda7e662d4f011,0.75,0.573,0.7013,0.671,有效数据,有效数据,17/5/2024 下午4:05:25,490102,,116711,女,女,19,6,4,2,0,1425.375,1381.6667,704.75,1351.1667,0.875,0.8333,0.75,0.625,788.2295,813.5948,158.4403,1595.6434,440,978,440
6647104685016279026b57a9,0.7917,0.75,0.5017,0.5043,有效数据,有效数据,2024/5/17 16:07:00,681011,59621,120810,男,女,20,6,5,0,0,1308.5417,1215.2917,922.5,1587.4167,0.7083,0.6667,0.7917,0.75,428.8227,293.6891,267.7148,1040.014,400,889,400
664710db0ebda7e662d4f012,0.7083,0.9583,0.368,0.557,有效数据,有效数据,2024/5/17 下午4:10:01,620186,,110102,男,女,22,2,4,0,0,1036,1163.3333,1314,1074.25,0.625,0.5,0.7083,0.9583,444.2967,416.923,504.9653,494.532,393,873,393
6647116d85016279026b57aa,0.738,0.698,0.3923,0.591,有效数据,有效数据,2024/5/17 16:12:27,544561,58201,115258,男,男,20,1,2,2,1,1039.5417,1170.0417,1288.9167,1303.9167,0.625,0.4583,0.75,0.75,226.6737,270.5956,418.8786,590.4398,401,889,401
664711c00ebda7e662d4f013,0.6603,0.625,0.4427,0.671,有效数据,有效数据,"5/17/2024, 4:13:51 PM",509575,,124895,女,女,20,6,3,0,4,1155.9167,1148.75,1401.9167,1497.375,0.875,0.5417,0.7083,0.625,381.3722,305.8652,749.8683,603.3673,428,926,428
664712710ebda7e662d4f014,0.6667,0.6823,0.5503,0.6667,有效数据,有效数据,2024/5/17 16:16:46,499775,73781,131367,男,女,24,0,1,1,0,1416.1667,1808.5,1179.75,1069.2083,0.6667,0.5833,0.6667,0.7083,507.572,703.6138,273.6582,439.1901,390,844,390
